2018-08-24 18:48:33 chartsDataCollector died, spawning replacement...
2018-08-24 18:51:35 chartsDataCollector died, spawning replacement...
2018-08-24 18:54:38 chartsDataCollector died, spawning replacement...
2018-08-24 18:57:40 chartsDataCollector died, spawning replacement...
2018-08-24 19:00:42 chartsDataCollector died, spawning replacement...
2018-08-24 19:03:44 chartsDataCollector died, spawning replacement...
2018-08-24 19:06:47 chartsDataCollector died, spawning replacement...
2018-08-24 19:09:49 chartsDataCollector died, spawning replacement...
2018-08-24 19:12:51 chartsDataCollector died, spawning replacement...
2018-08-24 19:15:54 chartsDataCollector died, spawning replacement...
2018-08-24 19:18:56 chartsDataCollector died, spawning replacement...
2018-08-24 19:21:58 chartsDataCollector died, spawning replacement...
2018-08-24 19:25:01 chartsDataCollector died, spawning replacement...
2018-08-24 19:28:03 chartsDataCollector died, spawning replacement...
2018-08-24 19:31:05 chartsDataCollector died, spawning replacement...
2018-08-24 19:34:07 chartsDataCollector died, spawning replacement...
2018-08-24 19:37:10 chartsDataCollector died, spawning replacement...
2018-08-24 19:40:12 chartsDataCollector died, spawning replacement...
2018-08-24 19:43:14 chartsDataCollector died, spawning replacement...
2018-08-24 19:46:17 chartsDataCollector died, spawning replacement...
